,centroidid,longitude,latitude
0,MW000001,34.1473268032,-10.3201577835999
1,MW000002,33.5146448129,-11.4813791092
2,MW000003,33.3242396405999,-13.4810144795
3,MW000004,35.4518944009999,-15.5606967118
4,MW000005,33.6459185362,-14.011046658
5,MW000006,34.578553724,-14.5338033264999
6,MW000007,33.9174531884,-9.93555761815
7,MW000008,34.990817931,-15.8195968191999
8,MW000009,35.2981280484999,-14.3846425851
9,MW000010,35.1585709578,-15.2104321632
10,MW000011,33.7674784256999,-13.868776015
11,MW000012,35.3845628484,-15.7027278714
12,MW000013,35.0961734743,-15.9734908685
13,MW000014,34.9078182678,-15.72875289
14,MW000015,33.7297733038999,-14.005781313
15,MW000016,35.7368023298,-15.8421579009
16,MW000017,35.1273870196,-13.9536916680999
17,MW000018,33.0091574448,-13.3525684416
18,MW000019,35.062258243,-15.8473760192
19,MW000020,35.5836106873,-14.8568493207
20,MW000021,33.7607494311999,-13.9251336387
21,MW000022,35.0367747028,-15.8169542599999
22,MW000023,34.8370949218999,-16.0976411719999
23,MW000024,35.3906382099999,-14.8176310592
24,MW000025,34.6118788229999,-14.7977485943
25,MW000026,33.8235567087999,-14.3507089030999
26,MW000027,34.9017458229999,-15.2503117512
27,MW000028,34.1609102680999,-12.4475164335
28,MW000029,35.330732001,-16.0443581926
29,MW000030,33.5960120523999,-14.1621152783
30,MW000031,35.2924705658999,-15.3654474036999
31,MW000032,34.9985996369,-15.769931458
32,MW000033,35.0699068074,-15.8194591782
33,MW000034,34.8820508272999,-14.1197515269
34,MW000035,35.2899220981,-15.8363036223999
35,MW000036,35.0553511271,-15.8108261773999
36,MW000037,34.5601693882,-13.8367249824
37,MW000038,33.6118754980999,-9.68344514194
38,MW000039,35.182841678,-16.335421392
39,MW000040,33.3678375671999,-9.75447040978
40,MW000041,34.0333236995999,-13.6983610918
41,MW000042,35.1609853009999,-15.8824085153
42,MW000043,34.2770363919999,-12.9361467075
43,MW000044,35.3976055896999,-16.1061850556
44,MW000045,33.9742078792,-12.4006057271
45,MW000046,34.8605467999,-16.5465272341999
46,MW000047,35.0072319264999,-16.0528401928
47,MW000048,33.3454314502,-12.1325437201999
48,MW000049,34.1788918455999,-13.6169174197
49,MW000050,33.5850228827999,-11.8961834088
50,MW000051,34.9825857264,-15.8293633445
51,MW000052,35.7395349686999,-15.7728353474999
52,MW000053,34.0181792503,-11.4607593316
53,MW000054,33.7943694945999,-9.95133685741999
54,MW000055,33.7720157927999,-13.9157826839
55,MW000056,35.5102411343999,-14.9771406596
56,MW000057,35.7122692275,-15.7534191767
57,MW000058,33.7964213289,-14.0294162053
58,MW000059,33.7962334444,-11.1885140202
59,MW000060,33.7988524761,-13.987032933
60,MW000061,35.1900529342999,-15.5376284052
